역사명,역위도,역경도,geometry
한양대역,37.55522179,127.04349170000002,POINT (127.0434917 37.55522179)
한티역,37.496208,127.052883,POINT (127.052883 37.496208)
합정역,37.54969888,126.9141239,POINT (126.9141239 37.54969888)
행당역,37.55754312,127.0296931,POINT (127.0296931 37.55754312)
혜화역,37.58228892,127.0016857,POINT (127.0016857 37.58228892)
홍대입구역,37.557547615,126.92525795,POINT (126.92525795 37.557547615)
홍제역,37.58852355,126.94416499999998,POINT (126.944165 37.58852355)
화계역,37.63424543,127.017512,POINT (127.017512 37.63424543)
화곡역,37.54175707,126.8402952,POINT (126.8402952 37.54175707)
화랑대역,37.62013061,127.0844264,POINT (127.0844264 37.62013061)
회기역,37.589802,127.057936,POINT (127.057936 37.589802)
회현역,37.55851662,126.9781303,POINT (126.9781303 37.55851662)
효창공원앞역,37.5394155,126.961355,POINT (126.961355 37.5394155)
흑석역,37.50916704,126.9634876,POINT (126.9634876 37.50916704)
