연번,지방청,경찰서,관서명,지역파출소,치안센터명,주소,lon,lat,geometry
39,서울청,서울영등포,신풍,지구대,신길3치안센터,서울 영등포구 신길로 179-2,126.910724901,37.508295086,POINT (126.910724901 37.508295086)
40,서울청,서울영등포,신풍,지구대,신길5치안센터,서울 영등포구 신길로 23길 12,126.907770119,37.500660945,POINT (126.907770119 37.500660945)
41,서울청,서울영등포,당산,지구대,양평2치안센터,서울 영등포구 선유로 53길 23,126.895989443,37.537831656,POINT (126.895989443 37.537831656)
42,서울청,서울성동,한양,지구대,동마치안센터,서울 성동구 마장로42길 11,127.045407730,37.566319304,POINT (127.04540773 37.566319304)
43,서울청,서울성동,한양,지구대,마장치안센터,서울 성동구 고산자로 332,127.037556401,37.569140203,POINT (127.037556401 37.569140203)
44,서울청,서울성동,성수,지구대,뚝섬치안센터,서울 성동구 왕십리로5길 3,127.044345882,37.546387666,POINT (127.044345882 37.546387666)
45,서울청,서울성동,서울숲,지구대,성수1치안센터,서울 성동구 뚝섬로 364-1,127.051177088,37.539682116,POINT (127.051177088 37.539682116)
46,서울청,서울성동,행당,파출소,하왕치안센터,서울 성동구 왕십리로 341,127.031878555,37.563123336,POINT (127.031878555 37.563123336)
47,서울청,서울성동,옥수,파출소,금남치안센터,서울 성동구 독서당로 286-1,127.021045668,37.547628763,POINT (127.021045668 37.547628763)
48,서울청,서울동작,흑석,지구대,노들치안센터,서울 동작구 현충로56,126.967444617,37.504439195,POINT (126.967444617 37.504439195)
49,서울청,서울동작,흑석,지구대,흑석2치안센터,서울 동작구 현충로140-1,126.968809697,37.506006295,POINT (126.968809697 37.506006295)
50,서울청,서울동작,상도,지구대,상도2치안센터,서울 동작구 장승배기로 73,126.939116197,37.504162535,POINT (126.939116197 37.504162535)
51,서울청,서울동작,상도,지구대,상도4치안센터,서울 동작구 성대로29길 61,126.937596811,37.500821242,POINT (126.937596811 37.500821242)
