자치구,안심 주소,CCTV 용도,WGS x좌표,WGS y좌표,CCTV 수량,수정 일시
중랑구,서울특별시 중랑구 상봉동 신내로7가길 54 ,방범,37.60219574,127.0927429,2,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로 43 ,방범,37.60171127,127.0870819,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로8가길 3 ,방범,37.60213766,127.0905346,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로6길 30 ,방범,37.60153961,127.0893936,4,2021-01-12
중랑구,망우본동 583 (중랑숲리가아파트110동),방범,37.60307935,127.1054302,1,2021-01-12
중랑구,서울특별시 중랑구 망우동 용마공원로 36 ,방범,37.59183945,127.1017354,4,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로73길 20 ,방범,37.60123428,127.1047282,4,2021-01-12
중랑구,서울특별시 중랑구 묵동 공릉로12가길 29 ,도심공원,37.61712636,127.0812423,2,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로123길 98 ,방범,37.60084152,127.0751877,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로77길 34 ,방범,37.60202026,127.105957,1,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로121길 20 세광하니타운,방범,37.59662247,127.0801086,3,2021-01-12
중랑구,서울특별시 중랑구 묵동 동일로 894 ,방범,37.61059147,127.0782813,1,2021-01-12
중랑구,서울특별시 중랑구 망우동 양원역로6가길 35 ,방범,37.60202506,127.1101952,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 봉우재로 129 ,방범,37.59362411,127.0872955,2,2021-01-12
중랑구,서울특별시 중랑구 신내동 신내로 127 신내9단지신내아파트,방범,37.61044312,127.095932,3,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로139나길 39 ,방범,37.6052401,127.076133,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 동일로 589 ,방범,37.58372902,127.079254,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로 248 ,도심공원,37.58921162,127.0958122,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로42길 22 ,방범,37.58703967,127.0890692,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로67가길 3 ,방범,37.60202459,127.1011156,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로94길 37 ,방범,37.58840112,127.0998477,4,2021-01-12
