지방청,경찰서,관서명,구분,주소,파출소명,lat,lon
서울청,서울양천,신정2,지구대,서울특별시 양천구 목동로17길 5,신정2지구대,37.524445869,126.863571579
서울청,서울양천,신월2,지구대,서울특별시 양천구 지양로 55,신월2지구대,37.520536598,126.834393025
서울청,서울양천,신월1,파출소,서울특별시 양천구  남부순환로59길 8 ,신월1파출소,37.532057939,126.832256000
서울청,서울양천,신정3,파출소,서울특별시 양천구  중앙로 205,신정3파출소,37.514918894,126.854985713
서울청,서울양천,신월5,파출소,서울특별시 양천구  남부순환로31길 37,신월5파출소,37.539073428,126.830674320
서울청,서울송파,방이,지구대,서울특별시 송파구  양재대로71길 5-6,방이지구대,37.510249935,127.125746393
서울청,서울송파,잠실,지구대,서울특별시 송파구  올림픽로 101,잠실지구대,37.512098877,127.082140275
서울청,서울송파,삼전,지구대,서울특별시 송파구  백제고분로 238,삼전지구대,37.502674584,127.092748858
서울청,서울송파,가락,지구대,서울특별시 송파구  중대로 179,가락지구대,37.498184458,127.125313371
서울청,서울송파,문정,지구대,서울특별시 송파구 충민로2길 18,문정지구대,37.478218642,127.126925888
서울청,서울송파,마천,파출소,서울특별시 송파구  마천로 41길 8,마천파출소,37.497026772,127.148210183
서울청,서울송파,거여,파출소,서울특별시 송파구 새말로15길 9,거여파출소,37.485159462,127.129717311
서울청,서울송파,풍납,파출소,서울특별시 송파구  토성로 64,풍납파출소,37.528756470,127.116768736
서울청,서울송파,오금,파출소,서울특별시 송파구  마천로8길 17,오금파출소,37.506899559,127.128100971
서울청,서울송파,신천,파출소,서울특별시 송파구  올림픽로35길 12 ,신천파출소,37.520168184,127.112554855
서울청,서울송파,위례,파출소,서울특별시 송파구 위례순환로 369,위례파출소,37.477852927,127.145875215
서울청,서울노원,당현,지구대,서울특별시 노원구  노원로17길 64번지,당현지구대,37.642015382,127.068353531
서울청,서울노원,월계,지구대,서울특별시 노원구  월계로55길 58,월계지구대,37.633686403,127.059291071
서울청,서울노원,화랑,지구대,서울특별시 노원구  동일로 1034,화랑지구대,37.622565919,127.074597621
서울청,서울노원,노원역,지구대,서울특별시 노원구 노원로431,노원역지구대,37.655005234,127.066916346
서울청,서울노원,불암,지구대,서울특별시 노원구  한글비석로 277,불암지구대,37.652435036,127.077340403
서울청,서울노원,마들,지구대,서울특별시 노원구  한글비석로 489 마들지구대,마들지구대,37.664516900,127.063601312
서울청,서울노원,당고개,파출소,서울특별시 노원구  상계로35길 29(임시청사),당고개파출소,37.671471050,127.077852729
서울청,서울노원,상계1,파출소,서울특별시 노원구  동일로 1693,상계1파출소,37.679681255,127.055047182
서울청,서울방배,남태령,지구대,서울특별시 서초구  동작대로 34 남태령지구대,남태령지구대,37.479502777,126.982163915
서울청,서울방배,서래,파출소,서울특별시 서초구  신반포로 16길 15-14,서래파출소,37.502110234,126.996967292
서울청,서울방배,이수,파출소,서울특별시 서초구  동광로19길 38,이수파출소,37.494141701,126.988850639
서울청,서울방배,방배1,파출소,서울특별시 서초구  방배로16길 16-8,방배1파출소,37.484533254,126.996850204
서울청,서울은평,불광,지구대,서울특별시 은평구  연서로 290,불광지구대,37.621416516,126.926578634
서울청,서울은평,연신내,지구대,서울특별시 은평구  갈현로 195,연신내지구대,37.615211525,126.912699514
서울청,서울은평,진관,파출소,서울특별시 은평구  진관3로 38 진관파출소,진관파출소,37.639941363,126.920897227
서울청,서울은평,대조,파출소,서울특별시 은평구  통일로 737,대조파출소,37.611152062,126.928983832
서울청,서울도봉,창동,지구대,서울특별시 도봉구 노해로 392,창동지구대,37.652287647,127.051715104
서울청,서울도봉,신창,파출소,서울특별시 도봉구  도봉로104길 49-5,신창파출소,37.643520327,127.034614584
서울청,서울도봉,방학,파출소,서울특별시 도봉구  도봉로145길 45 방학파출소,방학파출소,37.664504123,127.040015684
서울청,서울도봉,신방학,파출소,서울특별시 도봉구  시루봉로5길 10,신방학파출소,37.658509913,127.027185013
서울청,서울도봉,도봉1,파출소,서울특별시 도봉구  도봉로169길 43 도봉1파출소,도봉1파출소,37.6794882,127.0424956
서울청,서울도봉,도봉2,파출소,서울특별시 도봉구 도봉로 180나길 33,도봉2파출소,37.683992312,127.049277637
서울청,서울도봉,쌍문,파출소,서울특별시 도봉구  방학로3길 132,쌍문파출소,37.657595526,127.038002299
서울청,서울도봉,숭미,파출소,서울특별시 도봉구  노해로 139 숭미파출소,숭미파출소,37.647513263,127.025581192
서울청,서울수서,도곡,지구대,서울특별시 강남구  언주로 426,도곡지구대,37.501342247,127.043712512
서울청,서울수서,대치,지구대,서울특별시 강남구  삼성로 203,대치지구대,37.494875717,127.062618648
서울청,서울수서,수서,파출소,서울특별시 강남구  밤고개로1길 48,수서파출소,37.489125642,127.104813418
서울청,서울수서,대왕,파출소,서울특별시 강남구  헌릉로 623,대왕파출소,37.465167221,127.107364812
서울청,서울수서,일원,지구대,서울특별시 강남구  일원로3길 35 일원파출소,일원지구대,37.492416621,127.083373490
서울청,서울수서,개포,지구대,서울특별시 강남구  개포로 261(1268),개포지구대,37.4798761,127.0505745
