,자치구,안심 주소,CCTV 용도,WGS x좌표,WGS y좌표,CCTV 수량,수정 일시,geometry,outlier
10673,서초구,서울특별시 서초구 서초동 서초대로54길 9 ,방범,37.49333305,127.0160421,1,2021-01-19,POINT (127.0160421 37.49333305),1
10674,서초구,서울특별시 서초구 서초동 서초대로54길 9 ,방범,37.49334246,127.0160367,1,2021-01-19,POINT (127.0160367 37.49334246),1
10675,서초구,서울특별시 서초구 반포동 동광로49길 7 양지빌딩,방범,37.49339138,127.0021791,1,2021-01-19,POINT (127.0021791 37.49339138),1
10676,서초구,서울특별시 서초구 방배동 동광로 116 포렛힐,방범,37.49346395,126.9956135,1,2021-01-19,POINT (126.9956135 37.49346395),1
10677,서초구,서울특별시 서초구 방배동 동광로 116 포렛힐,방범,37.49346887,126.9955978,1,2021-01-19,POINT (126.9955978 37.49346887),1
10678,서초구,서울특별시 서초구 방배동 동광로 116 포렛힐,방범,37.49347089,126.9956116,1,2021-01-19,POINT (126.9956116 37.49347089),1
10679,서초구,서울특별시 서초구 방배동 동광로 116 포렛힐,방범,37.49347291,126.9956222,1,2021-01-19,POINT (126.9956222 37.49347291),1
10680,서초구,서울특별시 서초구 반포동 동광로 177 양서빌리지,방범,37.49357435,127.0016096,1,2021-01-19,POINT (127.0016096 37.49357435),1
10681,서초구,서울특별시 서초구 반포동 동광로 177 양서빌리지,방범,37.49357757,127.0016096,1,2021-01-19,POINT (127.0016096 37.49357757),1
10682,서초구,서울특별시 서초구 반포동 동광로 177 양서빌리지,방범,37.49357757,127.0016076,1,2021-01-19,POINT (127.0016076 37.49357757),1
10683,서초구,서울특별시 서초구 방배동 방배중앙로 159 서초구어르신행복e음센터,방범,37.49364204,126.9856304,1,2021-01-19,POINT (126.9856304 37.49364204),1
10684,서초구,서울특별시 서초구 방배동 방배중앙로 159 서초구어르신행복e음센터,방범,37.49364988,126.9856152,1,2021-01-19,POINT (126.9856152 37.49364988),1
10685,서초구,서울특별시 서초구 방배동 방배중앙로 159 서초구어르신행복e음센터,방범,37.493651,126.9856267,1,2021-01-19,POINT (126.9856267 37.493651),1
10686,서초구,서울특별시 서초구 반포동 동광로41길 8 ,방범,37.49533528,127.0005745,1,2021-01-19,POINT (127.0005745 37.49533528),1
10687,서초구,서울특별시 서초구 반포동 동광로46길 7 가람빌라,방범,37.49366161,127.0000442,1,2021-01-19,POINT (127.0000442 37.49366161),1
10688,서초구,서울특별시 서초구 반포동 동광로46길 7 가람빌라,방범,37.493669,127.0000394,1,2021-01-19,POINT (127.0000394 37.493669),1
10689,서초구,서울특별시 서초구 반포동 동광로46길 7 가람빌라,방범,37.49367281,127.0000285,1,2021-01-19,POINT (127.0000285 37.49367281),1
10690,서초구,서울특별시 서초구 서초동 서초대로 294 교대역,방범,37.49384005,127.0144553,1,2021-01-19,POINT (127.0144553 37.49384005),1
